timestamp,service,cpu_usage_pct,memory_usage_pct,error_rate_pct
2026-09-21T02:08:47Z,payment-gateway,88.31,13.26,21.947
2026-09-22T02:49:54Z,payment-gateway,6.41,48.96,8.588
,notification-worker,,43.3,1.545
2026-09-21T08:17:39Z,inventory-api,42.08,85.05,0.075
2026-09-21T06:36:17Z,notification-worker,90.53,60.18,0.696
,payment-gateway,15.58,52.42,12.238
2026-09-20T09:21:29Z,auth-service,9.78,19.01,1.688
2026-09-21T06:25:55Z,payment-gateway,19.38,83.81,12.284
2026-09-20T12:30:33Z,auth-service,60.51,81.21,0.209
,payment-gateway,19.22,12.33,0.142
2026-09-20T17:56:26Z,inventory-api,22.89,64.15,1.558
2026-09-20T01:20:41Z,payment-gateway,71.4,79.59,0.441
2026-09-21T05:28:39Z,checkout-api,85.14,21.6,0.91
2026-09-20T04:08:12Z,inventory-api,69.78,60.56,0.404
2026-09-21T20:36:33Z,notification-worker,10.37,20.92,0.917
2026-09-20T19:13:21Z,payment-gateway,84.78,58.29,1.276
2026-09-20T06:34:42Z,notification-worker,92.31,78.4,22.139
2026-09-20T09:57:54Z,notification-worker,47.61,47.02,13.562
2026-09-20T12:15:02Z,auth-service,44.08,27.79,1.893
2026-09-22T11:36:46Z,checkout-api,42.6,13.54,1.467
2026-09-21T01:12:09Z,notification-worker,40.49,74.78,0.196
2026-09-20T00:15:16Z,notification-worker,72.78,65.45,0.436
2026-09-20T11:36:43Z,search-api,94.91,11.27,0.324
2026-09-21T11:44:16Z,search-api,57.53,88.11,0.277
2026-09-20T07:40:17Z,recommendation-engine,83.44,60.14,0.003
2026-09-20T22:13:48Z,search-api,34.96,12.62,0.54
2026-09-21T09:42:11Z,notification-worker,76.5,73.02,22.617
2026-09-19T22:11:43Z,notification-worker,90.08,63.97,0.222
2026-09-21T15:17:17Z,checkout-api,37.9,24.02,0.134
2026-09-20T09:06:39Z,payment-gateway,93.31,29.09,0.957
2026-09-21T12:26:49Z,recommendation-engine,91.32,26.78,0.451
2026-09-20T13:40:21Z,notification-worker,66.22,32.17,11.905
2026-09-21T08:33:21Z,recommendation-engine,16.04,66.79,1.066
2026-09-21T15:25:13Z,auth-service,76.99,85.63,1.882
22/09/2026 11:09,inventory-api,,41.25,1.917
2026-09-21T20:57:50Z,payment-gateway,49.67,80.0,1.255
2026-09-22T16:48:23Z,search-api,53.73,20.56,0.888
2026-09-20T15:25:54Z,payment-gateway,10.67,79.74,1.895
2026-09-21T00:10:57Z,notification-worker,35.85,61.68,1.187
2026-09-22T07:30:36Z,notification-worker,45.07,34.33,1.579
2026-09-20T13:08:14Z,payment-gateway,48.58,87.66,0.095
2026-09-21T03:24:13Z,payment-gateway,60.68,22.86,0.365
2026-09-21T21:46:02Z,search-api,86.42,73.56,0.234
2026-09-21T12:02:23Z,payment-gateway,44.68,39.57,1.414
2026-09-22T17:25:17Z,auth-service,18.31,45.87,1.067
2026-09-19T20:01:08Z,inventory-api,88.8,71.48,1.856
2026-09-22T16:50:54Z,search-api,54.15,50.59,0.591
2026-09-22T16:48:31Z,recommendation-engine,93.26,55.9,1.13
2026-09-21T02:23:50Z,auth-service,67.02,68.53,0.279
2026-09-20T16:38:16Z,checkout-api,41.15,77.27,0.185
21/09/2026 16:54,payment-gateway,,27.77,0.556
2026-09-21T19:30:23Z,search-api,91.19,88.07,0.981
2026-09-21T07:27:16Z,checkout-api,86.76,38.89,1.708
2026-09-20T21:21:10Z,checkout-api,30.62,38.11,1.749
1790043137,inventory-api,71.74,43.25,0.328
2026-09-22T07:02:39Z,notification-worker,58.81,21.49,1.977
2026-09-20T18:37:42Z,checkout-api,88.98,57.25,0.013
2026-09-20T14:06:26Z,inventory-api,20.74,46.97,1.83
2026-09-22T06:48:33Z,inventory-api,31.05,49.25,0.604
2026-09-21T06:11:00Z,notification-worker,71.59,27.96,0.308
2026-09-21T16:50:52Z,recommendation-engine,62.29,19.93,0.575
2026-09-22T12:14:05Z,search-api,63.03,12.28,0.986
2026-09-21T13:48:50Z,search-api,37.56,48.44,0.516
2026-09-22T17:08:51Z,search-api,78.65,39.86,0.035
2026-09-21T12:33:32Z,checkout-api,18.15,46.88,0.715
20/09/2026 20:30,inventory-api,62.26,86.41,10.833
2026-09-20T07:32:52Z,recommendation-engine,13.51,70.21,1.745
2026-09-21T20:04:55Z,recommendation-engine,32.1,64.84,0.192
2026-09-22T06:09:22Z,payment-gateway,6.16,51.45,0.97
2026-09-22T12:31:32Z,payment-gateway,14.22,22.36,0.377
2026-09-21T14:52:21Z,search-api,79.83,52.05,1.102
2026-09-20T02:30:10Z,inventory-api,46.44,16.11,1.847
2026-09-20T16:53:32Z,search-api,37.63,75.36,1.195
2026-09-20T19:06:40Z,payment-gateway,68.89,12.3,0.445
2026-09-20T04:34:13Z,search-api,25.39,20.03,0.157
2026-09-22T03:17:43Z,checkout-api,12.0,71.98,0.085
22/09/2026 03:57,search-api,51.21,14.74,0.506
not-a-timestamp,recommendation-engine,,58.14,0.4
2026-09-22T00:32:26Z,auth-service,90.39,37.83,1.001
2026-09-20T11:48:47Z,notification-worker,56.32,17.93,0.028
2026-09-20T08:09:08Z,auth-service,20.46,70.32,19.507
2026-09-22T13:13:52Z,notification-worker,81.62,47.98,0.37
2026-09-20T02:01:09Z,payment-gateway,80.13,88.5,1.029
2026-09-22T01:38:53Z,auth-service,16.13,18.83,1.525
2026-09-21T10:46:23Z,search-api,8.65,36.25,0.567
2026-09-20T16:55:25Z,search-api,92.86,45.52,0.581
2026-09-20T07:57:03Z,recommendation-engine,11.26,77.28,1.358
2026-09-21T19:17:41Z,inventory-api,65.49,41.71,1.353
,inventory-api,,88.21,1.785
2026-09-20T18:51:45Z,payment-gateway,58.55,89.25,1.676
2026-09-20T14:29:06Z,recommendation-engine,69.21,56.55,1.579
2026-09-20T23:20:54Z,auth-service,47.82,58.25,0.969
2026-09-22T02:07:41Z,inventory-api,14.72,30.06,1.257
2026-09-20T01:27:25Z,search-api,9.76,15.46,1.944
2026-09-21T19:39:44Z,auth-service,18.75,59.76,6.53
2026-09-22T02:05:49Z,inventory-api,76.35,26.15,0.981
2026-09-20T19:13:31Z,recommendation-engine,82.37,53.73,0.063
2026-09-22T12:49:40Z,checkout-api,39.53,35.16,0.919
,search-api,82.43,34.24,0.983
2026-09-22T01:50:15Z,checkout-api,56.2,49.24,1.079
2026-09-21T11:08:46Z,recommendation-engine,19.07,14.46,1.182
2026-09-21T19:27:52Z,auth-service,73.98,32.76,16.809
2026-09-20T20:53:07Z,auth-service,77.86,56.72,1.25
2026-09-21T01:22:51Z,auth-service,94.28,42.95,9.885
2026-09-20T16:55:50Z,notification-worker,12.64,65.04,0.229
2026-09-21T09:24:37Z,auth-service,8.36,62.62,1.03
2026-09-19T19:41:23Z,search-api,47.27,11.78,1.141
2026-09-20T01:19:13Z,recommendation-engine,48.95,65.27,0.993
2026-09-21T18:48:06Z,auth-service,20.0,33.96,0.404
2026-09-22T17:08:11Z,recommendation-engine,11.78,78.03,0.53
2026-09-21T11:58:00Z,inventory-api,77.41,59.97,1.435
2026-09-21T13:18:08Z,auth-service,29.6,55.31,0.854
2026-09-19T23:47:11Z,search-api,79.14,50.37,1.327
2026-09-21T00:22:24Z,inventory-api,27.61,51.23,1.095
2026-09-21T15:55:20Z,search-api,51.46,24.92,1.322
2026-09-22T14:30:53Z,inventory-api,29.11,61.03,1.706
2026-09-22T14:15:44Z,notification-worker,70.4,14.79,0.925
2026-09-22T00:33:28Z,search-api,73.9,77.53,1.72
2026-09-21T16:21:55Z,payment-gateway,81.14,31.35,0.321
2026-09-20T11:23:55Z,inventory-api,26.46,22.0,20.941
2026-09-21T05:32:55Z,notification-worker,94.22,43.76,0.404
2026-09-19T20:19:34Z,auth-service,76.07,32.22,1.289
not-a-timestamp,inventory-api,75.4,14.43,0.628
2026-09-20T23:50:29Z,auth-service,65.45,80.86,1.68
2026-09-20T11:23:31Z,checkout-api,56.39,50.02,1.328
2026-09-22T02:38:46Z,notification-worker,27.66,80.77,0.245
2026-09-20T18:10:55Z,recommendation-engine,57.59,41.2,0.472
2026-09-20T04:42:36Z,checkout-api,20.76,87.59,0.509
2026-09-21T05:54:39Z,notification-worker,38.72,85.9,0.848
2026-09-22T16:21:02Z,auth-service,84.15,84.96,1.431
2026-09-19T19:44:19Z,search-api,92.01,58.47,1.324
2026-09-21T20:29:53Z,recommendation-engine,65.44,30.24,1.278
2026-09-22T11:58:12Z,recommendation-engine,66.67,52.79,0.885
,inventory-api,,83.43,1.873
2026-09-20T05:52:17Z,inventory-api,61.82,80.36,0.813
not-a-timestamp,checkout-api,79.09,85.24,0.826
2026-09-22T05:55:56Z,checkout-api,79.2,65.88,0.704
2026-09-22T05:26:10Z,notification-worker,71.4,46.26,6.042
2026-09-21T16:05:26Z,inventory-api,76.19,20.89,1.257
2026-09-20T00:11:31Z,checkout-api,19.2,51.31,1.661
2026-09-22T07:52:40Z,notification-worker,66.72,73.41,0.957
2026-09-20T13:11:10Z,payment-gateway,66.87,76.14,0.397
2026-09-20T07:26:56Z,inventory-api,83.88,85.58,0.449
2026-09-22T13:25:23Z,notification-worker,63.24,60.13,1.948
2026-09-21T21:16:06Z,recommendation-engine,20.19,42.08,0.52
1789948783,payment-gateway,90.25,19.39,0.87
2026-09-20T10:33:02Z,search-api,23.28,85.68,0.532
2026-09-20T22:01:33Z,payment-gateway,43.82,26.53,1.648
2026-09-20T07:59:35Z,inventory-api,21.23,73.4,24.523
2026-09-21T03:02:35Z,payment-gateway,38.27,64.74,0.021
2026-09-20T17:44:31Z,search-api,40.78,26.98,0.847
2026-09-19T23:31:26Z,checkout-api,55.13,14.17,0.942
2026-09-21T14:21:32Z,search-api,92.05,57.86,0.091
2026-09-21T15:19:34Z,inventory-api,32.23,41.58,1.936
2026-09-21T12:28:26Z,payment-gateway,28.43,50.3,1.756
2026-09-20T17:18:37Z,search-api,52.74,21.34,0.088
2026-09-22T09:40:40Z,recommendation-engine,30.29,38.85,1.806
2026-09-22T06:36:46Z,recommendation-engine,88.4,51.36,0.33
2026-09-21T05:58:39Z,recommendation-engine,90.5,54.45,1.273
2026-09-20T07:57:39Z,payment-gateway,9.91,24.65,0.327
2026-09-20T02:39:10Z,inventory-api,8.67,38.52,0.97
2026-09-22T07:47:46Z,search-api,83.02,19.89,22.363
2026-09-20T06:27:32Z,search-api,50.79,31.82,1.171
2026-09-22T16:57:21Z,checkout-api,52.34,55.66,0.154
2026-09-21T19:29:42Z,checkout-api,84.86,12.08,1.361
2026-09-21T13:11:28Z,checkout-api,80.33,22.3,21.614
2026-09-21T03:16:02Z,search-api,90.97,57.54,24.395
2026-09-22T15:26:46Z,inventory-api,34.24,68.52,1.915
2026-09-20T09:35:43Z,recommendation-engine,9.38,61.49,0.111
1790101869,notification-worker,,41.91,1.93
2026-09-20T06:04:08Z,inventory-api,75.15,32.79,1.308
2026-09-21T05:56:47Z,recommendation-engine,43.91,74.51,1.37
2026-09-21T18:39:57Z,checkout-api,79.88,51.01,1.771
2026-09-21T11:12:17Z,notification-worker,43.08,70.52,1.228
2026-09-21T01:13:32Z,checkout-api,8.64,37.34,0.448
2026-09-20T05:29:45Z,inventory-api,52.46,61.78,14.364
,inventory-api,32.04,88.73,0.601
2026-09-19T21:40:46Z,notification-worker,11.89,13.61,0.85
21/09/2026 18:19,search-api,,30.27,0.164
2026-09-20T07:16:43Z,recommendation-engine,21.4,41.44,22.535
2026-09-21T12:57:48Z,search-api,45.95,63.62,0.53
2026-09-22T09:39:12Z,recommendation-engine,21.85,24.81,1.208
2026-09-20T01:56:48Z,inventory-api,53.09,10.47,0.343
2026-09-21T20:34:47Z,inventory-api,83.19,87.26,0.973
2026-09-22T17:07:22Z,notification-worker,37.47,63.9,0.79
2026-09-20T03:18:46Z,payment-gateway,6.25,18.95,24.41
2026-09-20T09:26:23Z,inventory-api,63.38,61.98,1.252
2026-09-20T08:06:22Z,checkout-api,32.08,47.07,0.044
2026-09-20T05:18:11Z,search-api,68.23,87.11,1.72
2026-09-20T08:51:54Z,auth-service,56.25,76.71,5.157
2026-09-21T22:07:48Z,inventory-api,93.15,77.89,1.192
2026-09-20T15:22:39Z,checkout-api,48.87,48.89,1.223
2026-09-22T05:40:25Z,recommendation-engine,48.91,67.14,0.844
2026-09-19T22:49:43Z,auth-service,85.36,43.37,0.99
2026-09-20T19:27:17Z,inventory-api,67.78,11.66,0.384
2026-09-20T11:06:19Z,notification-worker,24.77,82.73,1.204
2026-09-21T18:02:32Z,inventory-api,16.8,33.47,1.92
2026-09-21T19:13:06Z,search-api,71.11,73.68,1.689
2026-09-20T14:46:19Z,search-api,72.43,63.36,0.399
2026-09-20T01:33:06Z,recommendation-engine,42.44,89.5,0.419
19/09/2026 19:31,auth-service,84.28,38.56,1.656
2026-09-20T02:30:11Z,notification-worker,25.4,54.96,1.987
2026-09-22T02:13:41Z,checkout-api,74.31,54.56,1.707
2026-09-21T14:12:25Z,search-api,14.37,14.03,1.598
2026-09-22T01:14:14Z,checkout-api,92.72,72.53,1.717
not-a-timestamp,checkout-api,,23.36,0.411
2026-09-21T02:21:16Z,recommendation-engine,50.53,68.6,17.942
2026-09-20T04:14:11Z,checkout-api,81.37,45.13,1.538
2026-09-22T05:07:27Z,inventory-api,35.72,50.4,12.449
2026-09-20T20:27:55Z,search-api,64.85,22.13,0.843
2026-09-22T04:35:13Z,inventory-api,42.21,42.74,1.705
2026-09-20T20:32:51Z,checkout-api,44.83,71.61,1.035
20/09/2026 18:50,auth-service,41.15,71.79,0.787
2026-09-22T11:55:22Z,notification-worker,10.2,60.53,1.321
2026-09-20T15:44:17Z,inventory-api,41.18,64.47,0.609
2026-09-22T12:24:44Z,auth-service,5.71,32.38,1.841
2026-09-21T02:41:40Z,search-api,23.46,53.55,1.304
2026-09-22T10:50:33Z,recommendation-engine,75.34,42.36,0.603
not-a-timestamp,inventory-api,,69.2,1.984
2026-09-20T16:56:30Z,notification-worker,35.66,60.85,22.806
2026-09-20T13:02:29Z,payment-gateway,79.9,34.32,1.011
2026-09-22T07:29:11Z,auth-service,28.38,50.6,1.513
2026-09-21T02:52:48Z,auth-service,56.52,10.42,0.472
2026-09-21T12:33:16Z,notification-worker,69.32,85.0,1.689
2026-09-20T15:59:28Z,auth-service,65.02,75.21,0.28
2026-09-21T23:54:29Z,payment-gateway,14.47,51.32,1.557
2026-09-20T04:52:33Z,search-api,43.31,42.96,13.498
2026-09-20T09:50:39Z,inventory-api,12.03,64.15,1.118
2026-09-22T09:42:08Z,auth-service,57.59,60.92,1.378
2026-09-21T23:29:10Z,inventory-api,79.14,21.55,1.422
2026-09-21T21:30:21Z,notification-worker,82.69,19.44,0.947
2026-09-22T14:56:57Z,notification-worker,38.24,86.15,0.817
2026-09-21T11:50:19Z,auth-service,8.63,22.26,1.982
2026-09-21T05:35:17Z,checkout-api,76.21,21.37,0.097
2026-09-22T10:56:36Z,auth-service,24.4,75.53,0.245
2026-09-22T09:35:12Z,checkout-api,42.58,55.84,1.801
2026-09-21T04:48:33Z,recommendation-engine,69.8,58.46,1.01
2026-09-21T02:58:01Z,search-api,45.42,79.31,1.6
2026-09-21T00:01:56Z,inventory-api,25.95,41.63,1.916
2026-09-21T23:47:30Z,auth-service,63.13,79.28,1.144
2026-09-21T21:42:55Z,auth-service,55.49,19.9,0.385
2026-09-21T12:12:34Z,recommendation-engine,9.76,55.62,0.952
2026-09-20T02:57:46Z,search-api,89.26,24.38,20.735
2026-09-21T21:35:08Z,recommendation-engine,84.89,45.54,1.214
2026-09-19T21:28:47Z,inventory-api,82.58,11.86,0.83
2026-09-20T17:18:54Z,inventory-api,28.15,19.17,8.363
2026-09-20T12:48:47Z,recommendation-engine,13.07,34.54,0.338
2026-09-20T17:53:28Z,payment-gateway,7.45,14.68,0.64
2026-09-20T17:48:46Z,auth-service,38.8,76.22,0.405
2026-09-21T12:52:39Z,payment-gateway,49.37,70.19,0.23
21/09/2026 04:03,notification-worker,,48.73,0.467
2026-09-21T19:21:47Z,checkout-api,27.17,54.38,0.609
2026-09-20T00:18:51Z,recommendation-engine,62.22,26.28,0.747
2026-09-22T03:08:57Z,payment-gateway,53.38,43.9,0.903
1789974140,recommendation-engine,,62.24,0.12
2026-09-21T19:43:12Z,inventory-api,94.93,77.4,1.681
2026-09-20T05:57:29Z,search-api,53.07,15.59,18.969
2026-09-21T23:00:08Z,notification-worker,94.89,80.26,1.01
2026-09-22T10:34:12Z,search-api,90.09,60.81,1.416
2026-09-21T18:25:46Z,auth-service,35.75,46.78,0.032
2026-09-21T17:16:36Z,checkout-api,59.79,10.34,8.471
2026-09-21T20:55:15Z,search-api,49.01,41.42,22.534
2026-09-21T09:25:38Z,checkout-api,85.33,75.28,0.247
2026-09-20T21:36:39Z,recommendation-engine,59.12,40.94,1.624
2026-09-20T03:17:21Z,inventory-api,38.34,25.44,19.863
2026-09-21T19:45:38Z,search-api,37.2,17.2,0.606
2026-09-20T11:15:44Z,inventory-api,92.06,12.94,1.408
2026-09-19T18:43:25Z,payment-gateway,93.58,61.07,0.555
2026-09-20T06:37:04Z,notification-worker,22.44,69.11,1.206
2026-09-21T13:01:58Z,payment-gateway,72.14,20.19,1.711
2026-09-21T23:16:51Z,recommendation-engine,29.69,77.81,24.396
2026-09-21T14:56:51Z,auth-service,66.26,80.65,13.542
2026-09-21T17:32:16Z,checkout-api,81.85,35.84,0.814
2026-09-21T07:56:42Z,inventory-api,49.6,51.38,19.424
22/09/2026 13:04,inventory-api,52.92,35.3,0.669
2026-09-21T20:24:56Z,inventory-api,91.2,83.36,0.658
not-a-timestamp,checkout-api,7.51,44.56,20.944
2026-09-21T04:41:20Z,payment-gateway,91.29,76.6,1.039
2026-09-19T23:30:48Z,recommendation-engine,59.0,45.08,13.929
2026-09-22T17:10:01Z,checkout-api,87.5,40.19,1.387
2026-09-19T22:43:08Z,recommendation-engine,44.77,34.12,0.132
2026-09-21T10:55:41Z,checkout-api,31.54,40.52,20.039
2026-09-21T13:51:50Z,recommendation-engine,64.38,10.85,1.59
2026-09-21T15:17:42Z,checkout-api,35.57,85.01,0.908
2026-09-20T08:13:12Z,checkout-api,14.24,57.61,20.788
2026-09-21T11:56:39Z,payment-gateway,62.36,30.5,1.449
2026-09-20T11:54:35Z,payment-gateway,76.73,14.84,0.872
2026-09-22T01:08:09Z,auth-service,33.01,80.82,0.295
2026-09-20T19:10:24Z,auth-service,38.19,10.65,1.357
,recommendation-engine,80.17,78.7,0.391
2026-09-19T23:11:06Z,auth-service,22.04,48.06,0.935
2026-09-22T08:14:43Z,notification-worker,55.95,36.85,0.657
,recommendation-engine,86.95,49.67,1.278
2026-09-21T05:12:39Z,search-api,74.15,75.17,0.752
2026-09-22T06:21:28Z,checkout-api,37.65,15.9,7.304
2026-09-20T08:21:36Z,search-api,57.71,71.24,5.594
2026-09-20T06:53:06Z,payment-gateway,84.68,67.51,1.109
2026-09-19T19:46:09Z,payment-gateway,80.86,82.85,18.549
2026-09-22T03:32:30Z,checkout-api,35.45,26.82,0.739
2026-09-20T06:40:55Z,notification-worker,92.94,89.82,1.757
1789890197,payment-gateway,76.54,25.33,0.749
2026-09-19T21:34:04Z,recommendation-engine,60.44,25.13,1.579
2026-09-19T22:04:56Z,search-api,76.61,79.83,1.937
2026-09-20T09:26:25Z,search-api,12.33,47.65,0.13
2026-09-22T00:54:45Z,search-api,72.6,39.94,0.358
2026-09-21T08:28:05Z,search-api,48.5,86.46,1.162
2026-09-22T03:46:32Z,notification-worker,63.48,26.58,0.904
2026-09-20T10:07:18Z,auth-service,43.25,40.17,1.685
2026-09-20T00:22:34Z,payment-gateway,72.65,33.6,0.46
1789986621,notification-worker,35.27,46.09,0.735
2026-09-20T07:16:47Z,inventory-api,26.04,61.63,0.165
2026-09-21T07:32:40Z,notification-worker,62.93,72.87,0.197
not-a-timestamp,notification-worker,,25.73,0.605
2026-09-20T04:14:35Z,recommendation-engine,72.71,69.19,0.017
2026-09-22T06:04:58Z,auth-service,75.48,42.3,1.16
2026-09-21T04:34:28Z,search-api,51.14,70.89,0.795
2026-09-22T00:45:16Z,payment-gateway,47.7,51.27,1.515
2026-09-21T03:48:08Z,auth-service,76.27,35.05,1.54
2026-09-20T09:27:56Z,inventory-api,45.5,54.68,1.155
2026-09-22T14:53:49Z,search-api,5.87,74.83,0.68
2026-09-21T20:08:23Z,recommendation-engine,41.3,72.29,0.652
1790058211,checkout-api,87.99,22.3,0.661
2026-09-20T22:38:57Z,checkout-api,53.1,25.07,1.139
2026-09-22T11:21:26Z,auth-service,13.39,18.35,0.064
2026-09-21T05:47:02Z,checkout-api,21.8,15.56,0.568
2026-09-21T18:13:57Z,notification-worker,11.3,14.6,0.344
2026-09-21T00:07:19Z,inventory-api,19.13,18.86,0.957
1790102707,recommendation-engine,,79.64,1.636
2026-09-20T16:48:01Z,notification-worker,23.27,67.34,0.403
2026-09-21T02:39:40Z,checkout-api,79.21,58.39,0.658
2026-09-21T05:57:16Z,inventory-api,46.64,13.13,17.926
2026-09-20T19:27:21Z,search-api,80.84,73.39,1.647
2026-09-21T00:25:38Z,payment-gateway,21.16,59.42,0.769
2026-09-21T21:04:08Z,notification-worker,13.6,65.89,22.711
2026-09-22T10:28:11Z,search-api,53.4,63.33,19.531
